Date,Team,Team_SP,Opp,Opp_SP,Bet_Length,Bet_Type,Line_Move_Time,Over_Under,Line,Odds
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,03/31 04:00 PM,,-1.5,+130
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,03/31 04:00 PM,,+1.5,-150
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 01:32 AM,,-1.5,+130
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 01:32 AM,,+1.5,-140
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 10:57 AM,,-1.5,+125
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 10:57 AM,,+1.5,-135
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 11:14 AM,,-1.5,+120
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 11:14 AM,,+1.5,-130
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 11:41 AM,,-1.5,+118
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 11:41 AM,,+1.5,-128
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 11:46 AM,,-1.5,+115
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 11:46 AM,,+1.5,-125
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 12:25 PM,,-1.5,+120
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 12:25 PM,,+1.5,-130
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 02:44 PM,,-1.5,+115
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 02:44 PM,,+1.5,-125
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,POINT SPREADS,04/02 04:11 PM,,-1.5,+110
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,POINT SPREADS,04/02 04:11 PM,,+1.5,-130
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,03/31 04:00 PM,,,-128
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,03/31 04:00 PM,,,+118
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/01 11:20 AM,,,-126
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/01 11:20 AM,,,+116
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/01 11:34 AM,,,-125
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/01 11:34 AM,,,+120
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/01 08:20 PM,,,-127
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/01 08:20 PM,,,+122
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/01 09:21 PM,,,-129
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/01 09:21 PM,,,+124
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/01 09:22 PM,,,-130
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/01 09:22 PM,,,+125
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 01:31 AM,,,-128
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 01:31 AM,,,+123
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 07:10 AM,,,-129
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 07:10 AM,,,+124
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 08:21 AM,,,-129
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 08:21 AM,,,+119
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 08:40 AM,,,-131
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 08:40 AM,,,+121
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 09:08 AM,,,-134
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 09:08 AM,,,+124
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 10:52 AM,,,-135
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 10:52 AM,,,+125
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 10:57 AM,,,-140
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 10:57 AM,,,+130
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 11:13 AM,,,-143
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 11:13 AM,,,+133
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 11:41 AM,,,-145
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 11:41 AM,,,+135
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 11:46 AM,,,-148
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 11:46 AM,,,+138
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 11:56 AM,,,-142
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 11:56 AM,,,+132
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 12:48 PM,,,-144
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 12:48 PM,,,+134
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,03/31 04:00 PM,over,8,+100
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,03/31 04:00 PM,under,8,-120
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/01 11:34 AM,over,8,+105
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/01 11:34 AM,under,8,-115
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/01 11:57 AM,over,8,+100
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/01 11:57 AM,under,8,-110
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/01 09:21 PM,over,8,-110
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/01 09:21 PM,under,8,+100
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 07:10 AM,over,8,-106
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 07:10 AM,under,8,-104
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 08:21 AM,over,8,-105
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 08:21 AM,under,8,-105
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:27 AM,over,8,-112
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:27 AM,under,8,+102
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:29 AM,over,8,-120
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:29 AM,under,8,+110
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:41 AM,over,8.5,-105
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:41 AM,under,8.5,-105
20170402,5Dimes,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 12:24 PM,over,8.5,-110
20170402,5Dimes,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 12:24 PM,under,8.5,+100
