game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
nan,2012,nan,20120822,2:10p,nan,nan,CHC,MIL,2,3,-1,1.5,0,30,205,-225,nan,nan,71,45
nan,2012,nan,20120822,2:10p,nan,nan,MIL,CHC,3,2,1,-1.5,1,70,-225,205,nan,nan,29,55
nan,2012,nan,20120822,6:35p,nan,nan,PIT,SD,2,4,-2,-1.5,0,70,-157,147,nan,nan,16,91
nan,2012,nan,20120822,6:35p,nan,nan,SD,PIT,4,2,2,1.5,1,30,147,-157,nan,nan,84,9
nan,2012,nan,20120822,7:05p,nan,nan,CIN,PHI,3,2,1,1.5,1,49,-101,-109,nan,nan,46,45
nan,2012,nan,20120822,7:05p,nan,nan,PHI,CIN,2,3,-1,-1.5,0,51,-109,-101,nan,nan,54,55
nan,2012,nan,20120822,7:05p,nan,nan,ATL,WSH,5,1,4,-1.5,1,62,-105,-105,nan,nan,54,42
nan,2012,nan,20120822,7:05p,nan,nan,WSH,ATL,1,5,-4,1.5,0,38,-105,-105,nan,nan,46,58
nan,2012,nan,20120822,7:10p,nan,nan,COL,NYM,5,2,3,1.5,1,39,147,-157,nan,nan,71,21
nan,2012,nan,20120822,7:10p,nan,nan,NYM,COL,2,5,-3,-1.5,0,61,-157,147,nan,nan,29,79
nan,2012,nan,20120822,8:15p,nan,nan,HOU,STL,2,4,-2,1.5,0,28,258,-285,nan,nan,88,4
nan,2012,nan,20120822,8:15p,nan,nan,STL,HOU,4,2,2,-1.5,1,72,-285,258,nan,nan,12,96
nan,2012,nan,20120822,9:40p,nan,nan,MIA,ARI,0,3,-3,1.5,0,36,178,-188,nan,nan,63,6
nan,2012,nan,20120822,9:40p,nan,nan,ARI,MIA,3,0,3,-1.5,1,64,-188,178,nan,nan,37,94
nan,2012,nan,20120822,10:10p,nan,nan,SF,LAD,8,4,4,-1.5,1,59,-103,-107,nan,nan,35,82
nan,2012,nan,20120822,10:10p,nan,nan,LAD,SF,4,8,-4,1.5,0,41,-107,-103,nan,nan,65,18
nan,2012,nan,20120822,1:10p,nan,nan,KC,TB,3,5,-2,1.5,0,31,175,-185,nan,nan,80,23
nan,2012,nan,20120822,1:10p,nan,nan,TB,KC,5,3,2,-1.5,1,69,-185,175,nan,nan,20,77
nan,2012,nan,20120822,3:35p,nan,nan,MIN,OAK,1,5,-4,1.5,0,31,162,-172,nan,nan,86,5
nan,2012,nan,20120822,3:35p,nan,nan,OAK,MIN,5,1,4,-1.5,1,69,-172,162,nan,nan,14,95
nan,2012,nan,20120822,3:40p,nan,nan,CLE,SEA,1,3,-2,1.5,0,36,114,-124,nan,nan,79,3
nan,2012,nan,20120822,3:40p,nan,nan,SEA,CLE,3,1,2,-1.5,1,64,-124,114,nan,nan,21,97
nan,2012,nan,20120822,7:05p,nan,nan,TOR,DET,2,3,-1,1.5,0,49,177,-187,nan,nan,71,12
nan,2012,nan,20120822,7:05p,nan,nan,DET,TOR,3,2,1,-1.5,1,51,-187,177,nan,nan,29,88
nan,2012,nan,20120822,7:10p,nan,nan,LAA,BOS,7,3,4,-1.5,1,55,-123,113,nan,nan,29,87
nan,2012,nan,20120822,7:10p,nan,nan,BOS,LAA,3,7,-4,1.5,0,45,113,-123,nan,nan,71,13
nan,2012,nan,20120822,8:05p,nan,nan,BAL,TEX,3,12,-9,1.5,0,30,185,-200,nan,nan,83,8
nan,2012,nan,20120822,8:05p,nan,nan,TEX,BAL,12,3,9,-1.5,1,70,-200,185,nan,nan,17,92
nan,2012,nan,20120822,8:10p,nan,nan,NYY,CWS,1,2,-1,1.5,0,52,114,-124,nan,nan,59,10
nan,2012,nan,20120822,8:10p,nan,nan,CWS,NYY,2,1,1,-1.5,1,48,-124,114,nan,nan,41,90
nan,2012,nan,20120822,3:40p,nan,nan,MIA,ARI,2,3,-1,1.5,0,30,154,-164,nan,nan,63,6
nan,2012,nan,20120822,3:40p,nan,nan,ARI,MIA,3,2,1,-1.5,1,70,-164,154,nan,nan,37,94
nan,2012,nan,20120823,1:10p,nan,nan,COL,NYM,1,0,1,1.5,1,32,140,-150,nan,nan,78,18
nan,2012,nan,20120823,1:10p,nan,nan,NYM,COL,0,1,-1,-1.5,0,68,-150,140,nan,nan,22,82
nan,2012,nan,20120823,1:45p,nan,nan,HOU,STL,5,13,-8,1.5,0,31,280,-310,nan,nan,81,5
nan,2012,nan,20120823,1:45p,nan,nan,STL,HOU,13,5,8,-1.5,1,69,-310,280,nan,nan,19,95
nan,2012,nan,20120823,7:05p,nan,nan,CIN,PHI,3,4,-1,1.5,0,39,-101,-109,nan,nan,53,31
nan,2012,nan,20120823,7:05p,nan,nan,PHI,CIN,4,3,1,-1.5,1,61,-109,-101,nan,nan,47,69
nan,2012,nan,20120823,10:15p,nan,nan,ATL,SF,2,5,-3,-1.5,0,57,-121,111,nan,nan,28,69
nan,2012,nan,20120823,10:15p,nan,nan,SF,ATL,5,2,3,1.5,1,43,111,-121,nan,nan,72,31
