game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
,2012,,20120822,2:10p,,,CHC,MIL,2,3,-1,1.5,0,30,205,-225,,,71,45
,2012,,20120822,2:10p,,,MIL,CHC,3,2,1,-1.5,1,70,-225,205,,,29,55
,2012,,20120822,6:35p,,,PIT,SD,2,4,-2,-1.5,0,70,-157,147,,,16,91
,2012,,20120822,6:35p,,,SD,PIT,4,2,2,1.5,1,30,147,-157,,,84,9
,2012,,20120822,7:05p,,,CIN,PHI,3,2,1,1.5,1,49,-101,-109,,,46,45
,2012,,20120822,7:05p,,,PHI,CIN,2,3,-1,-1.5,0,51,-109,-101,,,54,55
,2012,,20120822,7:05p,,,ATL,WSH,5,1,4,-1.5,1,62,-105,-105,,,54,42
,2012,,20120822,7:05p,,,WSH,ATL,1,5,-4,1.5,0,38,-105,-105,,,46,58
,2012,,20120822,7:10p,,,COL,NYM,5,2,3,1.5,1,39,147,-157,,,71,21
,2012,,20120822,7:10p,,,NYM,COL,2,5,-3,-1.5,0,61,-157,147,,,29,79
,2012,,20120822,8:15p,,,HOU,STL,2,4,-2,1.5,0,28,258,-285,,,88,4
,2012,,20120822,8:15p,,,STL,HOU,4,2,2,-1.5,1,72,-285,258,,,12,96
,2012,,20120822,9:40p,,,MIA,ARI,0,3,-3,1.5,0,36,178,-188,,,63,6
,2012,,20120822,9:40p,,,ARI,MIA,3,0,3,-1.5,1,64,-188,178,,,37,94
,2012,,20120822,10:10p,,,SF,LAD,8,4,4,-1.5,1,59,-103,-107,,,35,82
,2012,,20120822,10:10p,,,LAD,SF,4,8,-4,1.5,0,41,-107,-103,,,65,18
,2012,,20120822,1:10p,,,KC,TB,3,5,-2,1.5,0,31,175,-185,,,80,23
,2012,,20120822,1:10p,,,TB,KC,5,3,2,-1.5,1,69,-185,175,,,20,77
,2012,,20120822,3:35p,,,MIN,OAK,1,5,-4,1.5,0,31,162,-172,,,86,5
,2012,,20120822,3:35p,,,OAK,MIN,5,1,4,-1.5,1,69,-172,162,,,14,95
,2012,,20120822,3:40p,,,CLE,SEA,1,3,-2,1.5,0,36,114,-124,,,79,3
,2012,,20120822,3:40p,,,SEA,CLE,3,1,2,-1.5,1,64,-124,114,,,21,97
,2012,,20120822,7:05p,,,TOR,DET,2,3,-1,1.5,0,49,177,-187,,,71,12
,2012,,20120822,7:05p,,,DET,TOR,3,2,1,-1.5,1,51,-187,177,,,29,88
,2012,,20120822,7:10p,,,LAA,BOS,7,3,4,-1.5,1,55,-123,113,,,29,87
,2012,,20120822,7:10p,,,BOS,LAA,3,7,-4,1.5,0,45,113,-123,,,71,13
,2012,,20120822,8:05p,,,BAL,TEX,3,12,-9,1.5,0,30,185,-200,,,83,8
,2012,,20120822,8:05p,,,TEX,BAL,12,3,9,-1.5,1,70,-200,185,,,17,92
,2012,,20120822,8:10p,,,NYY,CWS,1,2,-1,1.5,0,52,114,-124,,,59,10
,2012,,20120822,8:10p,,,CWS,NYY,2,1,1,-1.5,1,48,-124,114,,,41,90
,2012,,20120822,3:40p,,,MIA,ARI,2,3,-1,1.5,0,30,154,-164,,,63,6
,2012,,20120822,3:40p,,,ARI,MIA,3,2,1,-1.5,1,70,-164,154,,,37,94
,2012,,20120823,1:10p,,,COL,NYM,1,0,1,1.5,1,32,140,-150,,,78,18
,2012,,20120823,1:10p,,,NYM,COL,0,1,-1,-1.5,0,68,-150,140,,,22,82
,2012,,20120823,1:45p,,,HOU,STL,5,13,-8,1.5,0,31,280,-310,,,81,5
,2012,,20120823,1:45p,,,STL,HOU,13,5,8,-1.5,1,69,-310,280,,,19,95
,2012,,20120823,7:05p,,,CIN,PHI,3,4,-1,1.5,0,39,-101,-109,,,53,31
,2012,,20120823,7:05p,,,PHI,CIN,4,3,1,-1.5,1,61,-109,-101,,,47,69
,2012,,20120823,10:15p,,,ATL,SF,2,5,-3,-1.5,0,57,-121,111,,,28,69
,2012,,20120823,10:15p,,,SF,ATL,5,2,3,1.5,1,43,111,-121,,,72,31
,2012,,20120823,1:05p,,,TOR,DET,2,3,-1,1.5,0,34,258,-285,,,77,27
,2012,,20120823,1:05p,,,DET,TOR,3,2,1,-1.5,1,66,-285,258,,,23,73
,2012,,20120823,7:10p,,,LAA,BOS,14,13,1,-1.5,1,59,-112,102,,,30,85
,2012,,20120823,7:10p,,,BOS,LAA,13,14,-1,1.5,0,41,102,-112,,,70,15
,2012,,20120823,7:10p,,,OAK,TB,0,5,-5,1.5,0,34,177,-187,,,79,14
,2012,,20120823,7:10p,,,TB,OAK,5,0,5,-1.5,1,66,-187,177,,,21,86
,2012,,20120823,8:05p,,,MIN,TEX,6,10,-4,1.5,0,30,164,-174,,,81,7
,2012,,20120823,8:05p,,,TEX,MIN,10,6,4,-1.5,1,70,-174,164,,,19,93
,2012,,20120824,2:20p,,,COL,CHC,3,5,-2,1.5,0,34,149,-159,,,70,31
,2012,,20120824,2:20p,,,CHC,COL,5,3,2,-1.5,1,66,-159,149,,,30,69
,2012,,20120824,7:05p,,,WSH,PHI,2,4,-2,-1.5,0,64,-116,106,,,23,95
,2012,,20120824,7:05p,,,PHI,WSH,4,2,2,1.5,1,36,106,-116,,,77,5
,2012,,20120824,7:05p,,,MIL,PIT,6,5,1,-1.5,1,47,107,-117,,,77,21
,2012,,20120824,7:05p,,,PIT,MIL,5,6,-1,1.5,0,53,-117,107,,,23,79
,2012,,20120824,7:10p,,,HOU,NYM,3,1,2,1.5,1,27,205,-225,,,85,4
,2012,,20120824,7:10p,,,NYM,HOU,1,3,-2,-1.5,0,73,-225,205,,,15,96
,2012,,20120824,7:10p,,,STL,CIN,8,5,3,1.5,1,57,110,-120,,,59,24
,2012,,20120824,7:10p,,,CIN,STL,5,8,-3,-1.5,0,43,-120,110,,,41,76
,2012,,20120824,9:40p,,,SD,ARI,5,0,5,1.5,1,32,170,-180,,,81,2
,2012,,20120824,9:40p,,,ARI,SD,0,5,-5,-1.5,0,68,-180,170,,,19,98
,2012,,20120824,10:10p,,,MIA,LAD,4,11,-7,1.5,0,31,200,-220,,,83,4
,2012,,20120824,10:10p,,,LAD,MIA,11,4,7,-1.5,1,69,-220,200,,,17,96
,2012,,20120824,10:15p,,,ATL,SF,3,5,-2,1.5,0,31,110,-120,,,76,2
,2012,,20120824,10:15p,,,SF,ATL,5,3,2,-1.5,1,69,-120,110,,,24,98
,2012,,20120824,7:05p,,,LAA,DET,2,1,1,1.5,1,44,-108,-102,,,58,18
,2012,,20120824,7:05p,,,DET,LAA,1,2,-1,-1.5,0,56,-102,-108,,,42,82
,2012,,20120824,7:05p,,,TOR,BAL,4,6,-2,1.5,0,31,-105,-105,,,74,3
,2012,,20120824,7:05p,,,BAL,TOR,6,4,2,-1.5,1,69,-105,-105,,,26,97
,2012,,20120824,7:05p,,,NYY,CLE,3,1,2,-1.5,1,65,-245,225,,,17,94
,2012,,20120824,7:05p,,,CLE,NYY,1,3,-2,1.5,0,35,225,-245,,,83,6
,2012,,20120824,7:10p,,,KC,BOS,3,4,-1,1.5,0,35,180,-190,,,79,13
,2012,,20120824,7:10p,,,BOS,KC,4,3,1,-1.5,1,65,-190,180,,,21,87
,2012,,20120824,7:10p,,,OAK,TB,5,4,1,1.5,1,34,180,-190,,,78,16
,2012,,20120824,7:10p,,,TB,OAK,4,5,-1,-1.5,0,66,-190,180,,,22,84
,2012,,20120824,8:05p,,,MIN,TEX,0,8,-8,1.5,0,27,235,-255,,,87,1
,2012,,20120824,8:05p,,,TEX,MIN,8,0,8,-1.5,1,73,-255,235,,,13,99
,2012,,20120824,8:10p,,,SEA,CWS,8,9,-1,1.5,0,44,158,-168,,,76,33
,2012,,20120824,8:10p,,,CWS,SEA,9,8,1,-1.5,1,56,-168,158,,,24,67
,2012,,20120825,1:05p,,,COL,CHC,4,3,1,1.5,1,35,108,-118,,,86,1
,2012,,20120825,1:05p,,,CHC,COL,3,4,-1,-1.5,0,65,-118,108,,,14,99
,2012,,20120825,1:10p,,,HOU,NYM,1,3,-2,1.5,0,29,275,-305,,,87,9
,2012,,20120825,1:10p,,,NYM,HOU,3,1,2,-1.5,1,71,-305,275,,,13,91
,2012,,20120825,4:05p,,,STL,CIN,2,8,-6,-1.5,0,50,-110,100,,,49,46
,2012,,20120825,4:05p,,,CIN,STL,8,2,6,1.5,1,50,100,-110,,,51,54
,2012,,20120825,4:05p,,,ATL,SF,7,3,4,1.5,1,31,152,-162,,,87,1
,2012,,20120825,4:05p,,,SF,ATL,3,7,-4,-1.5,0,69,-162,152,,,13,99
,2012,,20120825,7:05p,,,WSH,PHI,2,4,-2,1.5,0,53,-104,-106,,,55,26
,2012,,20120825,7:05p,,,PHI,WSH,4,2,2,-1.5,1,47,-106,-104,,,45,74
,2012,,20120825,7:05p,,,MIL,PIT,0,4,-4,1.5,0,34,116,-126,,,86,1
,2012,,20120825,7:05p,,,PIT,MIL,4,0,4,-1.5,1,66,-126,116,,,14,99
,2012,,20120825,8:10p,,,SD,ARI,9,3,6,1.5,1,35,157,-167,,,75,25
,2012,,20120825,8:10p,,,ARI,SD,3,9,-6,-1.5,0,65,-167,157,,,25,75
,2012,,20120825,1:10p,,,OAK,TB,4,2,2,1.5,1,35,132,-142,,,63,54
,2012,,20120825,1:10p,,,TB,OAK,2,4,-2,-1.5,0,65,-142,132,,,37,46
,2012,,20120825,4:05p,,,MIN,TEX,3,9,-6,1.5,0,29,190,-210,,,80,1
,2012,,20120825,4:05p,,,TEX,MIN,9,3,6,-1.5,1,71,-210,190,,,20,99
,2012,,20120825,7:05p,,,NYY,CLE,1,3,-2,-1.5,0,58,-170,160,,,29,64
,2012,,20120825,7:05p,,,CLE,NYY,3,1,2,1.5,1,42,160,-170,,,71,36
,2012,,20120825,7:05p,,,NYY,CLE,1,3,-2,-1.5,0,58,-170,160,,,29,64
,2012,,20120825,7:05p,,,CLE,NYY,3,1,2,1.5,1,42,160,-170,,,71,36
,2012,,20120825,7:05p,,,NYY,CLE,1,3,-2,-1.5,0,58,-170,160,,,29,64
,2012,,20120825,7:05p,,,CLE,NYY,3,1,2,1.5,1,42,160,-170,,,71,36
,2012,,20120825,7:05p,,,LAA,DET,3,5,-2,-1.5,0,20,101,-111,,,77,1
,2012,,20120825,7:05p,,,DET,LAA,5,3,2,1.5,1,80,-111,101,,,23,99
,2012,,20120825,7:10p,,,SEA,CWS,4,5,-1,1.5,0,25,166,-176,,,90,2
,2012,,20120825,7:10p,,,CWS,SEA,5,4,1,-1.5,1,75,-176,166,,,10,98
,2012,,20120825,7:10p,,,KC,BOS,10,9,1,1.5,1,34,-105,-105,,,79,25
,2012,,20120825,7:10p,,,BOS,KC,9,10,-1,-1.5,0,66,-105,-105,,,21,75
,2012,,20120826,1:10p,,,STL,CIN,8,2,6,-1.5,1,58,-129,119,,,34,47
,2012,,20120826,1:10p,,,CIN,STL,2,8,-6,1.5,0,42,119,-129,,,66,53
,2012,,20120826,1:10p,,,HOU,NYM,1,2,-1,1.5,0,38,140,-150,,,76,3
,2012,,20120826,1:10p,,,NYM,HOU,2,1,1,-1.5,1,62,-150,140,,,24,97
,2012,,20120826,1:35p,,,MIL,PIT,7,0,7,1.5,1,38,118,-128,,,77,2
,2012,,20120826,1:35p,,,PIT,MIL,0,7,-7,-1.5,0,62,-128,118,,,23,98
,2012,,20120826,1:35p,,,WSH,PHI,1,4,-3,1.5,0,54,112,-122,,,42,50
,2012,,20120826,1:35p,,,PHI,WSH,4,1,3,-1.5,1,46,-122,112,,,58,50
