game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
,,,20160403,3:05p,,,CHC,LAA,4,6,-2,+1.5,0,41%,-105,-110,,,55%,n/a
,,,20160403,3:05p,,,LAA,CHC,6,4,2,-1.5,1,59%,-110,-105,,,45%,n/a
,,,20160403,3:05p,,,CHC,LAA,4,6,-2,+1.5,0,41%,-105,-110,,,55%,n/a
,,,20160403,3:05p,,,LAA,CHC,6,4,2,-1.5,1,59%,-110,-105,,,45%,n/a
,,,20160403,3:05p,,,CHC,LAA,4,6,-2,+1.5,0,41%,-105,-110,,,55%,n/a,,,,,55%,n/a
,,,20160403,3:05p,,,LAA,CHC,6,4,2,-1.5,1,59%,-110,-105,,,45%,n/a,,,,,45%,n/a
,,,20160404,2:10p,,,SF,MIL,12,3,9,-1.5,1,68%,-172,+162,,,77%,90%
,,,20160404,2:10p,,,MIL,SF,3,12,-9,1.5,0,32%,+162,-172,,,23%,10%
,,,20160404,4:10p,,,WSH,ATL,4,3,1,-1.5,1,67%,-177,+167,,,76%,73%
,,,20160404,4:10p,,,ATL,WSH,3,4,-1,1.5,0,33%,+167,-177,,,24%,27%
,,,20160404,4:10p,,,PHI,CIN,2,6,-4,+1.5,0,38%,+164,-174,,,29%,8%
,,,20160404,4:10p,,,CIN,PHI,6,2,4,-1.5,1,62%,-174,+164,,,71%,92%
,,,20160404,7:05p,,,LAD,SD,15,0,15,-1.5,1,65%,-190,+180,,,73%,65%
,,,20160404,7:05p,,,SD,LAD,0,15,-15,1.5,0,35%,+180,-190,,,27%,35%
,,,20160404,9:40p,,,COL,ARI,10,5,5,+1.5,1,40%,+169,-179,,,16%,7%
,,,20160404,9:40p,,,ARI,COL,5,10,-5,-1.5,0,60%,-179,+169,,,84%,93%
,,,20160404,3:05p,,,MIN,BAL,2,3,-1,+1.5,0,51%,+107,-117,,,34%,41%
,,,20160404,3:05p,,,BAL,MIN,3,2,1,-1.5,1,49%,-117,+107,,,66%,59%
,,,20160404,4:05p,,,SEA,TEX,2,3,-1,+1.5,0,45%,+112,-122,,,41%,29%
,,,20160404,4:05p,,,TEX,SEA,3,2,1,-1.5,1,55%,-122,+112,,,59%,71%
,,,20160404,7:10p,,,TOR,TB,5,3,2,+1.5,1,48%,+107,-117,,,43%,18%
,,,20160404,7:10p,,,TB,TOR,3,5,-2,-1.5,0,52%,-117,+107,,,57%,82%
,,,20160404,10:05p,,,CWS,OAK,4,3,1,-1.5,1,64%,-143,+133,,,NaN
,,,20160404,10:05p,,,OAK,CWS,3,4,-1,1.5,0,36%,+133,-143,,,31%
,,,20160404,10:05p,,,CHC,LAA,9,0,9,-1.5,1,63%,-139,+129,,,66%,78%
,,,20160404,10:05p,,,LAA,CHC,0,9,-9,1.5,0,37%,+129,-139,,,34%,22%
,,,20160405,7:05p,,,STL,PIT,5,6,-1,-1.5,0,57%,-102,-108,,,58%,47%
,,,20160405,7:05p,,,PIT,STL,6,5,1,1.5,1,43%,-108,-102,,,42%,53%
,,,20160405,8:10p,,,SF,MIL,2,1,1,-1.5,1,71%,-155,+145,,,83%,92%
,,,20160405,8:10p,,,MIL,SF,1,2,-1,1.5,0,29%,+145,-155,,,17%,8%
,,,20160405,9:40p,,,COL,ARI,6,11,-5,+1.5,0,34%,+113,-123,,,27%,4%
,,,20160405,9:40p,,,ARI,COL,11,6,5,-1.5,1,66%,-123,+113,,,73%,96%
,,,20160405,10:10p,,,LAD,SD,3,0,3,-1.5,1,59%,-118,+108,,,72%,76%
,,,20160405,10:10p,,,SD,LAD,0,3,-3,1.5,0,41%,+108,-118,,,28%,24%
,,,20160405,7:10p,,,TOR,TB,2,3,-1,-1.5,0,65%,-108,-102,,,73%,59%
,,,20160405,7:10p,,,TB,TOR,3,2,1,1.5,1,35%,-102,-108,,,27%,41%
,,,20160405,8:05p,,,SEA,TEX,10,2,8,+1.5,1,47%,-101,-109,,,45%,44%
,,,20160405,8:05p,,,TEX,SEA,2,10,-8,-1.5,0,53%,-109,-101,,,55%,56%
,,,20160405,10:05p,,,CWS,OAK,5,4,1,-1.5,1,55%,-114,+104,,,NaN
,,,20160405,10:05p,,,OAK,CWS,4,5,-1,1.5,0,45%,+104,-114,,,45%
,,,20160405,4:15p,,,NYM,KC,2,0,2,-1.5,1,58%,-125,+115,,,60%,59%
,,,20160405,4:15p,,,KC,NYM,0,2,-2,1.5,0,42%,+115,-125,,,40%,41%
,,,20160405,7:10p,,,DET,MIA,8,7,1,-1.5,1,55%,-108,-102,,,82%,81%
