distance,season,season_week,year,winlose,week,weekday,hour,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
0.0,2016,30,2017,0,17,1,18,OKC,HOU,0,0,0,7.5,0,52,285.0,-315.0,457.0,457.0,52,83
0.04870704260294385,2013,29,2014,1,16,1,19,NYK,BKN,109,98,11,7.5,1,55,270.0,-300.0,194.0,194.0,53,50
0.0500517282857878,2013,31,2014,0,18,1,21,GSW,LAC,103,113,-10,7.0,0,50,280.0,-310.0,208.5,208.5,54,51
0.05506635122474146,2013,30,2014,0,17,1,18,ATL,IND,85,101,-16,7.5,0,47,290.0,-320.0,186.5,186.5,50,54
0.058831501161901494,2015,30,2016,0,17,1,19,BOS,ATL,83,110,-27,7.5,0,52,280.0,-340.0,198.0,198.0,57,54
0.07136883434295174,2013,31,2014,1,18,1,20,MEM,OKC,100,99,1,7.5,1,54,305.0,-335.0,186.0,186.0,47,61
0.07508229401614419,2013,28,2014,1,15,1,19,BKN,MIA,88,87,1,7.5,1,51,285.0,-315.0,192.5,192.5,49,46
0.08739073225948221,2015,30,2016,0,17,1,17,IND,TOR,99,102,-3,7.0,0,50,255.0,-310.0,194.0,194.0,45,62
0.0874803261806354,2014,30,2015,0,17,1,20,DAL,HOU,99,111,-12,6.5,0,49,230.0,-270.0,214.0,214.0,48,44
0.10029163984043367,2012,28,2013,0,15,1,18,PHI,BKN,83,104,-21,8.5,0,50,335.0,-375.0,192.0,192.0,51,58
0.10544848839019072,2013,32,2014,0,19,1,18,BKN,MIA,86,107,-21,8.0,0,57,335.0,-375.0,192.0,192.0,50,61
0.11166479621257715,2012,30,2013,0,17,1,19,BOS,NYK,71,87,-16,6.5,0,59,255.0,-280.0,186.5,186.5,58,57
0.12980989157805628,2012,30,2013,1,17,1,21,GSW,DEN,131,117,14,8.5,1,48,375.0,-420.0,208.0,208.0,47,44
0.1327777453337909,2014,29,2015,0,16,1,19,WAS,IND,95,99,-4,7.5,0,46,280.0,-340.0,193.0,193.0,42,39
0.1335956521583161,2015,32,2016,1,19,1,19,OKC,SAS,95,91,4,7.0,1,47,275.0,-335.0,199.0,199.0,43,51
0.1374832867186206,2012,31,2013,0,18,1,19,GSW,DEN,100,107,-7,7.5,0,59,330.0,-370.0,211.0,211.0,61,69
0.13919437692309844,2014,28,2015,0,15,1,21,MIN,SAC,111,116,-5,8.5,0,55,378.0,-425.0,213.5,213.5,55,32
0.14366561696223187,2015,29,2016,0,16,1,18,BOS,ATL,72,89,-17,6.5,0,56,225.0,-265.0,205.5,205.5,62,48
0.1438131365102385,2012,31,2013,1,18,1,21,MEM,LAC,103,93,10,5.5,1,46,220.0,-240.0,180.5,180.5,47,40
0.14592340986100696,2014,31,2015,0,18,1,19,DAL,HOU,94,103,-9,8.0,0,47,325.0,-360.0,221.5,221.5,41,41
0.1519428517280896,2014,28,2015,0,15,1,18,PHX,ATL,69,96,-27,7.0,0,47,265.0,-295.0,200.0,200.0,41,66
0.153624147725676,2013,32,2014,0,19,1,20,POR,SAS,92,116,-24,6.5,0,60,260.0,-290.0,206.5,206.5,61,71
0.15488226233370542,2014,33,2015,0,20,1,18,CHI,CLE,101,106,-5,5.5,0,55,210.0,-250.0,190.5,190.5,53,54
0.1581631050192336,2012,32,2013,0,19,1,18,IND,NYK,79,105,-26,6.0,0,56,225.0,-245.0,183.5,183.5,61,57
0.1584842932792871,2015,28,2016,0,15,1,21,MEM,LAC,84,110,-26,9.0,0,46,335.0,-420.0,200.0,200.0,45,44
0.16186703451994905,2012,29,2013,1,16,1,19,TOR,ATL,113,96,17,5.0,1,50,195.0,-215.0,195.5,195.5,47,45
0.17075037215025923,2015,27,2016,0,14,1,18,CHA,TOR,90,96,-6,5.5,0,50,190.0,-210.0,201.0,201.0,54,46
0.1741491731657213,2014,28,2015,0,15,1,18,CHA,MIA,100,105,-5,6.5,0,45,230.0,-250.0,190.5,190.5,41,49
0.17478062086724117,2014,35,2015,0,22,1,19,ATL,CLE,88,118,-30,7.5,0,56,280.0,-340.0,195.5,195.5,55,54
0.17654889091347245,2014,29,2015,0,16,2,19,WAS,CLE,108,113,-5,8.0,0,53,290.0,-350.0,191.0,191.0,49,54
0.17760656115485518,2015,26,2016,0,13,1,18,BKN,ORL,105,139,-34,8.0,0,44,315.0,-380.0,211.5,211.5,46,57
0.1784675047311565,2013,31,2014,1,18,0,19,ATL,IND,107,97,10,7.0,1,57,285.0,-315.0,186.5,186.5,52,50
0.18080698507191095,2014,32,2015,0,19,1,19,WAS,ATL,90,106,-16,9.0,0,55,390.0,-490.0,199.0,199.0,56,49
0.1835255873206472,2012,28,2013,0,15,1,18,WAS,NYK,99,120,-21,8.5,0,50,400.0,-450.0,197.5,197.5,43,35
0.18879958741685438,2015,29,2016,0,16,0,18,IND,TOR,87,98,-11,8.0,0,49,320.0,-390.0,195.0,195.0,48,46
0.18966094464925037,2012,31,2013,0,18,0,18,CHI,BKN,91,110,-19,6.5,0,47,260.0,-290.0,180.5,180.5,48,38
0.19026174374661328,2014,25,2015,0,12,1,19,MIL,NOP,84,85,-1,7.0,0,49,255.0,-280.0,190.5,190.5,45,47
0.19173333394620382,2014,30,2015,1,17,1,19,WAS,TOR,117,106,11,5.0,1,46,180.0,-220.0,193.5,193.5,43,50
0.19221242376143746,2014,29,2015,0,16,0,19,POR,OKC,90,101,-11,8.0,0,52,305.0,-365.0,217.0,217.0,45,27
0.19226236410923078,2015,26,2016,1,13,1,18,CHI,IND,98,96,2,5.5,1,53,200.0,-240.0,204.5,204.5,58,72
0.1923437953031428,2013,29,2014,1,16,2,21,GSW,DEN,116,112,4,8.0,1,44,295.0,-325.0,209.5,209.5,49,50
0.19272059198035385,2012,33,2013,0,20,1,18,NYK,IND,82,93,-11,5.0,0,57,185.0,-200.0,180.0,180.0,54,57
0.19297914974225508,2013,30,2014,1,17,2,19,DAL,SAS,113,92,21,7.5,1,50,315.0,-345.0,201.0,201.0,60,50
0.1938878488876273,2014,29,2015,0,16,0,20,DAL,UTA,92,109,-17,6.0,0,50,220.0,-260.0,187.0,187.0,52,39
0.19506426902196772,2015,28,2016,1,15,0,20,DAL,UTA,101,92,9,7.0,1,54,240.0,-280.0,182.5,182.5,57,59
0.19549958818057178,2012,33,2013,0,20,1,20,GSW,SAS,91,109,-18,7.0,0,60,275.0,-305.0,194.5,194.5,65,61
