game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
,2013,,20130101,6:00p,Dallas,Washington,DAL,WAS,103,94,9,-4,1,65,-170,160,191.5,191.5,72,82
,2013,,20130101,6:00p,Washington,Dallas,WAS,DAL,94,103,-9,4,0,35,160,-170,191.5,191.5,28,18
,2013,,20130101,7:30p,Portland,New York,POR,NYK,105,100,5,9.5,1,45,450,-525,197,197,40,44
,2013,,20130101,7:30p,New York,Portland,NYK,POR,100,105,-5,-9.5,0,55,-525,450,197,197,60,56
,2013,,20130101,7:30p,Sacramento,Detroit,SAC,DET,97,103,-6,7,0,50,240,-280,195.5,195.5,50,51
,2013,,20130101,7:30p,Detroit,Sacramento,DET,SAC,103,97,6,-7,1,50,-280,240,195.5,195.5,50,49
,2013,,20130101,8:00p,Atlanta,New Orleans,ATL,NOP,95,86,9,-2,1,60,-120,110,185,185,83,50
,2013,,20130101,8:00p,New Orleans,Atlanta,NOP,ATL,86,95,-9,2,0,40,110,-120,185,185,17,50
,2013,,20130101,9:00p,L.A. Clippers,Denver,LAC,DEN,78,92,-14,1,0,51,-105,-105,207.5,207.5,65,50
,2013,,20130101,9:00p,Denver,L.A. Clippers,DEN,LAC,92,78,14,-1,1,49,-105,-105,207.5,207.5,35,50
,2013,,20130101,10:30p,Philadelphia,L.A. Lakers,PHI,LAL,103,99,4,9,1,42,390,-440,201,201,23,50
,2013,,20130101,10:30p,L.A. Lakers,Philadelphia,LAL,PHI,99,103,-4,-9,0,58,-440,390,201,201,77,50
,2013,,20130102,7:00p,Sacramento,Cleveland,SAC,CLE,97,94,3,3.5,1,50,145,-155,199.5,199.5,54,38
,2013,,20130102,7:00p,Cleveland,Sacramento,CLE,SAC,94,97,-3,-3.5,0,50,-155,145,199.5,199.5,46,62
,2013,,20130102,7:00p,Washington,Indiana,WAS,IND,81,89,-8,10.5,0,46,568,-700,181,181,33,32
,2013,,20130102,7:00p,Indiana,Washington,IND,WAS,89,81,8,-10.5,1,54,-700,568,181,181,67,68
,2013,,20130102,7:00p,Portland,Toronto,POR,TOR,79,102,-23,4.5,0,42,165,-175,191.5,191.5,50,26
,2013,,20130102,7:00p,Toronto,Portland,TOR,POR,102,79,23,-4.5,1,58,-175,165,191.5,191.5,50,74
,2013,,20130102,7:00p,Chicago,Orlando,CHI,ORL,96,94,2,-2.5,1,57,-135,125,185.5,185.5,62,50
,2013,,20130102,7:00p,Orlando,Chicago,ORL,CHI,94,96,-2,2.5,0,43,125,-135,185.5,185.5,38,50
,2013,,20130102,7:30p,Dallas,Miami,DAL,MIA,109,119,-10,10.5,0,42,535,-650,204.5,204.5,41,56
,2013,,20130102,7:30p,Miami,Dallas,MIA,DAL,119,109,10,-10.5,1,58,-650,535,204.5,204.5,59,44
,2013,,20130102,7:30p,Memphis,Boston,MEM,BOS,93,83,10,-2.5,1,48,-135,125,180,180,42,37
,2013,,20130102,7:30p,Boston,Memphis,BOS,MEM,83,93,-10,2.5,0,52,125,-135,180,180,58,63
,2013,,20130102,8:00p,San Antonio,Milwaukee,SAS,MIL,117,110,7,-5.5,1,61,-220,200,204,204,72,61
,2013,,20130102,8:00p,Milwaukee,San Antonio,MIL,SAS,110,117,-7,5.5,0,39,200,-220,204,204,28,39
,2013,,20130102,8:00p,Brooklyn,Oklahoma City,BKN,OKC,110,93,17,10,1,41,485,-575,197,197,27,25
,2013,,20130102,8:00p,Oklahoma City,Brooklyn,OKC,BKN,93,110,-17,-10,0,59,-575,485,197,197,73,75
,2013,,20130102,8:00p,New Orleans,Houston,NOP,HOU,92,104,-12,10,0,42,475,-560,202.5,202.5,22,50
,2013,,20130102,8:00p,Houston,New Orleans,HOU,NOP,104,92,12,-10,1,58,-560,475,202.5,202.5,78,50
