game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,pick_sportsplays,spread_percentage_sportsplays,spread_percentage_vegas
,2012,1,20120905,7:30p,Dallas,N.Y. Giants,DAL,NYG,24,17,7,3.5,1,40,172,-187,45.5,45.5,39418,41,29
,2012,1,20120905,7:30p,N.Y. Giants,Dallas,NYG,DAL,17,24,-7,-3.5,0,60,-187,172,45.5,45.5,57457,59,71
,2012,1,20120909,12:00p,Indianapolis,Chicago,IND,CHI,21,41,-20,10,0,59,405,-455,41.5,41.5,42661,37,43
,2012,1,20120909,12:00p,Chicago,Indianapolis,CHI,IND,41,21,20,-10,1,41,-455,405,41.5,41.5,72262,63,57
,2012,1,20120909,12:00p,Philadelphia,Cleveland,PHI,CLE,17,16,1,-8.5,1,57,-405,360,42,42,79472,75,64
,2012,1,20120909,12:00p,Cleveland,Philadelphia,CLE,PHI,16,17,-1,8.5,0,43,360,-405,42,42,26575,25,36
,2012,1,20120909,12:00p,Buffalo,N.Y. Jets,BUF,NYJ,28,48,-20,3,0,46,133,-143,39.5,39.5,65551,57,46
,2012,1,20120909,12:00p,N.Y. Jets,Buffalo,NYJ,BUF,48,28,20,-3,1,54,-143,133,39.5,39.5,48451,43,54
,2012,1,20120909,12:00p,Washington,New Orleans,WAS,NO,40,32,8,8,1,41,325,-360,50.5,50.5,29376,24,21
,2012,1,20120909,12:00p,New Orleans,Washington,NO,WAS,32,40,-8,-8,0,59,-360,325,50.5,50.5,95321,76,79
,2012,1,20120909,12:00p,New England,Tennessee,NE,TEN,34,13,21,-5,1,68,-225,205,48,48,93529,81,72
,2012,1,20120909,12:00p,Tennessee,New England,TEN,NE,13,34,-21,5,0,32,205,-225,48,48,21575,19,28
,2012,1,20120909,12:00p,Jacksonville,Minnesota,JAC,MIN,23,26,-3,3.5,0,46,175,-190,38,38,23664,43,37
,2012,1,20120909,12:00p,Minnesota,Jacksonville,MIN,JAC,26,23,3,-3.5,1,54,-190,175,38,38,31451,57,63
,2012,1,20120909,12:00p,Miami,Houston,MIA,HOU,10,30,-20,13,0,45,650,-825,41.5,41.5,23787,20,23
,2012,1,20120909,12:00p,Houston,Miami,HOU,MIA,30,10,20,-13,1,55,-825,650,41.5,41.5,98157,80,77
,2012,1,20120909,12:00p,Los Angeles,Detroit,LA,DET,23,27,-4,7.5,0,43,325,-360,46,46,20663,20,25
,2012,1,20120909,12:00p,Detroit,Los Angeles,DET,LA,27,23,4,-7.5,1,57,-360,325,46,46,80650,80,75
,2012,1,20120909,12:00p,Atlanta,Kansas City,ATL,KC,40,24,16,-2.5,1,63,-127,117,43,43,61723,68,72
,2012,1,20120909,12:00p,Kansas City,Atlanta,KC,ATL,24,40,-16,2.5,0,37,117,-127,43,43,28778,32,28
,2012,1,20120909,3:25p,San Francisco,Green Bay,SF,GB,30,22,8,6,1,48,240,-260,46.5,46.5,42763,39,37
,2012,1,20120909,3:25p,Green Bay,San Francisco,GB,SF,22,30,-8,-6,0,52,-260,240,46.5,46.5,65934,61,63
,2012,1,20120909,3:25p,Carolina,Tampa Bay,CAR,TB,10,16,-6,-3,0,61,-160,150,45.5,45.5,57960,72,81
,2012,1,20120909,3:25p,Tampa Bay,Carolina,TB,CAR,16,10,6,3,1,39,150,-160,45.5,45.5,22019,28,19
,2012,1,20120909,3:25p,Seattle,Arizona,SEA,ARI,16,20,-4,-2.5,0,65,-135,125,41,41,61628,66,75
,2012,1,20120909,3:25p,Arizona,Seattle,ARI,SEA,20,16,4,2.5,1,35,125,-135,41,41,31550,34,25
,2012,1,20120909,7:20p,Pittsburgh,Denver,PIT,DEN,19,31,-12,2.5,0,43,128,-138,45.5,45.5,45872,40,32
,2012,1,20120909,7:20p,Denver,Pittsburgh,DEN,PIT,31,19,12,-2.5,1,57,-138,128,45.5,45.5,69101,60,68
,2012,1,20120910,6:00p,Cincinnati,Baltimore,CIN,BAL,13,44,-31,7,0,52,285,-315,43,43,42759,38,37
,2012,1,20120910,6:00p,Baltimore,Cincinnati,BAL,CIN,44,13,31,-7,1,48,-315,285,43,43,70674,62,63
,2012,1,20120910,9:15p,San Diego,Oakland,SD,OAK,22,14,8,1,1,57,104,-114,47.5,47.5,45103,55,44
,2012,1,20120910,9:15p,Oakland,San Diego,OAK,SD,14,22,-8,-1,0,43,-114,104,47.5,47.5,36720,45,56
,2012,2,20120913,7:20p,Chicago,Green Bay,CHI,GB,10,23,-13,5,0,45,210,-230,50.5,50.5,46981,42,45
,2012,2,20120913,7:20p,Green Bay,Chicago,GB,CHI,23,10,13,-5,1,55,-230,210,50.5,50.5,63985,58,55
,2012,2,20120916,12:00p,Tampa Bay,N.Y. Giants,TB,NYG,34,41,-7,7.5,0,48,320,-355,43.5,43.5,28237,30,22
,2012,2,20120916,12:00p,N.Y. Giants,Tampa Bay,NYG,TB,41,34,7,-7.5,1,52,-355,320,43.5,43.5,65264,70,78
,2012,2,20120916,12:00p,Arizona,New England,ARI,NE,20,18,2,13,1,42,550,-675,47,47,14512,15,12
,2012,2,20120916,12:00p,New England,Arizona,NE,ARI,18,20,-2,-13,0,58,-675,550,47,47,79223,85,88
,2012,2,20120916,12:00p,Minnesota,Indianapolis,MIN,IND,20,23,-3,-2.5,0,46,-137,127,45.5,45.5,30205,43,48
,2012,2,20120916,12:00p,Indianapolis,Minnesota,IND,MIN,23,20,3,2.5,1,54,127,-137,45.5,45.5,40761,57,52
,2012,2,20120916,12:00p,New Orleans,Carolina,NO,CAR,27,35,-8,-3,0,64,-150,140,53.5,53.5,61663,75,80
,2012,2,20120916,12:00p,Carolina,New Orleans,CAR,NO,35,27,8,3,1,36,140,-150,53.5,53.5,20406,25,20
,2012,2,20120916,12:00p,Kansas City,Buffalo,KC,BUF,17,35,-18,3,0,56,145,-155,45,45,31117,60,52
,2012,2,20120916,12:00p,Buffalo,Kansas City,BUF,KC,35,17,18,-3,1,44,-155,145,45,45,20913,40,48
,2012,2,20120916,12:00p,Baltimore,Philadelphia,BAL,PHI,23,24,-1,3,0,64,145,-155,46.5,46.5,76328,78,71
,2012,2,20120916,12:00p,Philadelphia,Baltimore,PHI,BAL,24,23,1,-3,1,36,-155,145,46.5,46.5,22156,22,29
,2012,2,20120916,3:05p,Dallas,Seattle,OAK,MIA,7,27,-20,-1.5,0,63,-121,111,41,41,72506,78,77
,2012,2,20120916,3:05p,Seattle,Dallas,MIA,OAK,27,7,20,1.5,1,37,111,-121,41,41,20775,22,23
,2012,2,20120916,3:05p,Washington,Los Angeles,WAS,LA,28,31,-3,-3.5,0,62,-190,175,42,42,52752,72,69
,2012,2,20120916,3:05p,Los Angeles,Washington,LA,WAS,31,28,3,3.5,1,38,175,-190,42,42,20960,28,31
,2012,2,20120916,3:25p,N.Y. Jets,Pittsburgh,NYJ,PIT,10,27,-17,4.5,0,41,190,-210,43.5,43.5,35138,40,36
,2012,2,20120916,3:25p,Pittsburgh,N.Y. Jets,PIT,NYJ,27,10,17,-4.5,1,59,-210,190,43.5,43.5,53003,60,64
,2012,2,20120916,3:25p,Tennessee,San Diego,TEN,SD,10,38,-28,7,0,47,220,-240,43.5,43.5,16175,27,28
,2012,2,20120916,3:25p,San Diego,Tennessee,SD,TEN,38,10,28,-7,1,53,-240,220,43.5,43.5,44690,73,72
,2012,2,20120916,7:20p,Detroit,San Francisco,DET,SF,19,27,-8,7.5,0,50,250,-300,46,46,39626,30,35
,2012,2,20120916,7:20p,San Francisco,Detroit,SF,DET,27,19,8,-7.5,1,50,-300,250,46,46,92079,70,65
,2012,2,20120917,7:30p,Denver,Atlanta,DEN,ATL,21,27,-6,3,0,50,147,-157,49.5,49.5,67123,54,49
,2012,2,20120917,7:30p,Atlanta,Denver,ATL,DEN,27,21,6,-3,1,50,-157,147,49.5,49.5,57669,46,51
,2012,3,20120920,7:20p,N.Y. Giants,Carolina,NYG,CAR,36,7,29,2.5,1,47,140,-150,48.5,48.5,34803,51,40
,2012,3,20120920,7:20p,Carolina,N.Y. Giants,CAR,NYG,7,36,-29,-2.5,0,53,-150,140,48.5,48.5,33369,49,60
,2012,3,20120923,12:00p,Los Angeles,Chicago,LA,CHI,6,23,-17,7,0,57,275,-305,42,42,28207,47,38
,2012,3,20120923,12:00p,Chicago,Los Angeles,CHI,LA,23,6,17,-7,1,43,-305,275,42,42,32412,53,62
,2012,3,20120923,12:00p,Tampa Bay,Dallas,TB,DAL,10,16,-6,7.5,0,57,290,-320,45.5,45.5,37363,47,40
,2012,3,20120923,12:00p,Dallas,Tampa Bay,DAL,TB,16,10,6,-7.5,1,43,-320,290,45.5,45.5,42271,53,60
,2012,3,20120923,12:00p,San Francisco,Minnesota,SF,MIN,13,24,-11,-6.5,0,64,-295,265,42.5,42.5,70122,80,74
,2012,3,20120923,12:00p,Minnesota,San Francisco,MIN,SF,24,13,11,6.5,1,36,265,-295,42.5,42.5,17973,20,26
,2012,3,20120923,12:00p,Detroit,Tennessee,DET,TEN,41,44,-3,-4,0,66,-190,175,47,47,52132,78,85
,2012,3,20120923,12:00p,Tennessee,Detroit,TEN,DET,44,41,3,4,1,34,175,-190,47,47,14724,22,15
,2012,3,20120923,12:00p,Cincinnati,Washington,CIN,WAS,38,31,7,3,1,51,165,-175,49.5,49.5,32664,45,39
,2012,3,20120923,12:00p,Washington,Cincinnati,WAS,CIN,31,38,-7,-3,0,49,-175,165,49.5,49.5,39432,55,61
,2012,3,20120923,12:00p,N.Y. Jets,Miami,NYJ,MIA,23,20,3,-2.5,1,68,-145,135,40.5,40.5,60323,74,84
,2012,3,20120923,12:00p,Miami,N.Y. Jets,MIA,NYJ,20,23,-3,2.5,0,32,135,-145,40.5,40.5,21489,26,16
,2012,3,20120923,12:00p,Kansas City,New Orleans,KC,NO,27,24,3,8,1,54,345,-385,51,51,16311,25,23
,2012,3,20120923,12:00p,New Orleans,Kansas City,NO,KC,24,27,-3,-8,0,46,-385,345,51,51,48106,75,77
,2012,3,20120923,12:00p,Buffalo,Cleveland,BUF,CLE,24,14,10,-2.5,1,58,-138,128,45,45,33260,56,62
,2012,3,20120923,12:00p,Cleveland,Buffalo,CLE,BUF,14,24,-10,2.5,0,42,128,-138,45,45,26203,44,38
,2012,3,20120923,12:00p,Jacksonville,Indianapolis,JAC,IND,22,17,5,3,1,36,165,-175,42,42,16190,28,24
,2012,3,20120923,12:00p,Indianapolis,Jacksonville,IND,JAC,17,22,-5,-3,0,64,-175,165,42,42,40962,72,76
,2012,3,20120923,3:05p,Philadelphia,Arizona,PHI,ARI,6,27,-21,-3,0,47,-175,165,42.5,42.5,34694,49,57
,2012,3,20120923,3:05p,Arizona,Philadelphia,ARI,PHI,27,6,21,3,1,53,165,-175,42.5,42.5,36361,51,43
,2012,3,20120923,3:05p,Atlanta,San Diego,ATL,SD,27,3,24,3,1,56,148,-158,47,47,44876,67,63
,2012,3,20120923,3:05p,San Diego,Atlanta,SD,ATL,3,27,-24,-3,0,44,-158,148,47,47,22368,33,37
,2012,3,20120923,3:25p,Houston,Denver,HOU,DEN,31,25,6,-1,1,52,-116,106,43.5,43.5,45951,61,59
,2012,3,20120923,3:25p,Denver,Houston,DEN,HOU,25,31,-6,1,0,48,106,-116,43.5,43.5,29740,39,41
,2012,3,20120923,3:25p,Pittsburgh,Oakland,PIT,OAK,31,34,-3,-4,0,66,-200,185,45.5,45.5,57956,77,76
,2012,3,20120923,3:25p,Oakland,Pittsburgh,OAK,PIT,34,31,3,4,1,34,185,-200,45.5,45.5,17548,23,24
,2012,3,20120923,7:20p,New England,Baltimore,NE,BAL,30,31,-1,1.5,0,48,132,-152,48.5,48.5,46128,47,46
