game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
,,,20150101,8:00p,Denver,Chicago,DEN,CHI,101,106,-5,+10.5,0,52%,+500,-600,204.5,204.5,53%,54%
,,,20150101,8:00p,Chicago,Denver,CHI,DEN,106,101,5,-10.5,1,48%,-600,+500,204.5,204.5,47%,46%
,,,20150101,8:00p,Sacramento,Minnesota,SAC,MIN,110,107,3,-4.5,1,63%,-175,+165,211.5,211.5,71%,72%
,,,20150101,8:00p,Minnesota,Sacramento,MIN,SAC,107,110,-3,4.5,0,37%,+165,-175,211.5,211.5,29%,28%
,,,20150102,7:00p,Cleveland,Charlotte,CLE,CHA,91,87,4,-1.5,1,59%,-112,+102,193,193,60%,80%
,,,20150102,7:00p,Charlotte,Cleveland,CHA,CLE,87,91,-4,1.5,0,41%,+102,-112,193,193,40%,20%
,,,20150102,7:00p,Brooklyn,Orlando,BKN,ORL,100,98,2,-2.5,1,56%,-135,+125,193,193,70%,71%
,,,20150102,7:00p,Orlando,Brooklyn,ORL,BKN,98,100,-2,2.5,0,44%,+125,-135,193,193,30%,29%
,,,20150102,7:30p,Detroit,New York,DET,NYK,97,81,16,-4.5,1,62%,-185,+170,195.5,195.5,66%,62%
,,,20150102,7:30p,New York,Detroit,NYK,DET,81,97,-16,4.5,0,38%,+170,-185,195.5,195.5,34%,38%
,,,20150102,7:30p,Dallas,Boston,DAL,BOS,119,101,18,-6,1,64%,-235,+215,215,215,85%,63%
,,,20150102,7:30p,Boston,Dallas,BOS,DAL,101,119,-18,6,0,36%,+215,-235,215,215,15%,37%
,,,20150102,8:00p,Houston,New Orleans,HOU,NOP,83,111,-28,-2,0,61%,-130,+120,204,204,69%,70%
,,,20150102,8:00p,New Orleans,Houston,NOP,HOU,111,83,28,2,1,39%,+120,-130,204,204,31%,30%
,,,20150102,8:00p,Washington,Oklahoma City,WAS,OKC,102,109,-7,+7,0,49%,+280,-310,206,206,53%,60%
,,,20150102,8:00p,Oklahoma City,Washington,OKC,WAS,109,102,7,-7,1,51%,-310,+280,206,206,47%,40%
,,,20150102,8:30p,Indiana,Milwaukee,IND,MIL,94,91,3,+1.5,1,47%,+110,-120,194.5,194.5,43%,38%
,,,20150102,8:30p,Milwaukee,Indiana,MIL,IND,91,94,-3,-1.5,0,53%,-120,+110,194.5,194.5,57%,62%
,,,20150102,9:00p,Philadelphia,Phoenix,PHI,PHX,96,112,-16,+14,0,46%,+1150,-1450,209.5,209.5,44%,56%
,,,20150102,9:00p,Phoenix,Philadelphia,PHX,PHI,112,96,16,-14,1,54%,-1450,+1150,209.5,209.5,56%,44%
,,,20150102,9:00p,Atlanta,Utah,ATL,UTA,98,92,6,-4.5,1,61%,-175,+165,194.5,194.5,71%,74%
,,,20150102,9:00p,Utah,Atlanta,UTA,ATL,92,98,-6,4.5,0,39%,+165,-175,194.5,194.5,29%,26%
,,,20150102,10:30p,Toronto,Golden State,TOR,GSW,105,126,-21,+4.5,0,42%,+170,-200,216.5,216.5,33%,30%
,,,20150102,10:30p,Golden State,Toronto,GSW,TOR,126,105,21,-4.5,1,58%,-200,+170,216.5,216.5,67%,70%
,,,20150102,10:30p,Memphis,L.A. Lakers,MEM,LAL,109,106,3,-4,1,64%,-185,+160,203.5,203.5,82%,71%
,,,20150102,10:30p,L.A. Lakers,Memphis,LAL,MEM,106,109,-3,4,0,36%,+160,-185,203.5,203.5,18%,29%
,,,20150103,7:00p,Charlotte,Orlando,CHA,ORL,98,90,8,+4,1,47%,+155,-175,187.5,187.5,44%,38%
,,,20150103,7:00p,Orlando,Charlotte,ORL,CHA,90,98,-8,-4,0,53%,-175,+155,187.5,187.5,56%,62%
,,,20150103,8:00p,Utah,Minnesota,UTA,MIN,101,89,12,+1.5,1,52%,+108,-118,198,198,55%,57%
,,,20150103,8:00p,Minnesota,Utah,MIN,UTA,89,101,-12,-1.5,0,48%,-118,+108,198,198,45%,43%
