game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
,,,20170101,6:00p,Orlando,Indiana,ORL,IND,104,117,-13,+6,0,51%,+205,-245,209.5,209.5,35%,32%
,,,20170101,6:00p,Indiana,Orlando,IND,ORL,117,104,13,-6,1,49%,-245,+205,209.5,209.5,65%,68%
,,,20170101,6:00p,Detroit,Miami,DET,MIA,107,98,9,-6.5,1,56%,-280,+240,198.5,198.5,57%,86%
,,,20170101,6:00p,Miami,Detroit,MIA,DET,98,107,-9,6.5,0,44%,+240,-280,198.5,198.5,43%,14%
,,,20170101,6:00p,San Antonio,Atlanta,SAS,ATL,112,114,-2,-5,0,64%,-210,+175,199.5,199.5,82%,74%
,,,20170101,6:00p,Atlanta,San Antonio,ATL,SAS,114,112,2,5,1,36%,+175,-210,199.5,199.5,18%,26%
,,,20170101,7:00p,Portland,Minnesota,POR,MIN,95,89,6,+5.5,1,47%,+210,-250,207.5,207.5,42%,26%
,,,20170101,7:00p,Minnesota,Portland,MIN,POR,89,95,-6,-5.5,0,53%,-250,+210,207.5,207.5,58%,74%
,,,20170101,9:30p,Toronto,L.A. Lakers,TOR,LAL,123,114,9,-8,1,55%,-360,+300,218,218,63%,79%
,,,20170101,9:30p,L.A. Lakers,Toronto,LAL,TOR,114,123,-9,8,0,45%,+300,-360,218,218,37%,21%
,,,20170102,7:00p,New Orleans,Cleveland,NOP,CLE,82,90,-8,+9,0,42%,+360,-450,218,218,25%,36%
,,,20170102,7:00p,Cleveland,New Orleans,CLE,NOP,90,82,8,-9,1,58%,-450,+360,218,218,75%,64%
,,,20170102,7:00p,Oklahoma City,Milwaukee,OKC,MIL,94,98,-4,+2,0,54%,+115,-125,213.5,213.5,55%,40%
,,,20170102,7:00p,Milwaukee,Oklahoma City,MIL,OKC,98,94,4,-2,1,46%,-125,+115,213.5,213.5,45%,60%
,,,20170102,7:30p,Utah,Brooklyn,UTA,BKN,101,89,12,-6.5,1,60%,-280,+240,206.5,206.5,67%,73%
,,,20170102,7:30p,Brooklyn,Utah,BKN,UTA,89,101,-12,6.5,0,40%,+240,-280,206.5,206.5,33%,27%
,,,20170102,7:30p,Orlando,New York,ORL,NYK,115,103,12,+4,1,46%,+155,-175,211,211,29%,48%
,,,20170102,7:30p,New York,Orlando,NYK,ORL,103,115,-12,-4,0,54%,-175,+155,211,211,71%,52%
,,,20170102,8:00p,Washington,Houston,WAS,HOU,91,101,-10,+7.5,0,46%,+290,-350,230.5,230.5,30%,26%
,,,20170102,8:00p,Houston,Washington,HOU,WAS,101,91,10,-7.5,1,54%,-350,+290,230.5,230.5,70%,74%
,,,20170102,8:00p,Charlotte,Chicago,CHA,CHI,111,118,-7,-1.5,0,55%,-118,+108,199.5,199.5,54%,50%
,,,20170102,8:00p,Chicago,Charlotte,CHI,CHA,118,111,7,1.5,1,45%,+108,-118,199.5,199.5,46%,50%
,,,20170102,10:30p,Denver,Golden State,DEN,GSW,119,127,-8,+15.5,0,41%,+1300,-2150,231.5,231.5,24%,24%
,,,20170102,10:30p,Golden State,Denver,GSW,DEN,127,119,8,-15.5,1,59%,-2150,+1300,231.5,231.5,76%,76%
,,,20170102,10:30p,Phoenix,L.A. Clippers,PHX,LAC,98,109,-11,+4.5,0,46%,+165,-190,213.5,213.5,35%,44%
,,,20170102,10:30p,L.A. Clippers,Phoenix,LAC,PHX,109,98,11,-4.5,1,54%,-190,+165,213.5,213.5,65%,56%
,,,20170103,7:00p,Minnesota,Philadelphia,MIN,PHI,91,93,-2,-5,0,62%,-210,+175,205.5,205.5,69%,52%
,,,20170103,7:00p,Philadelphia,Minnesota,PHI,MIN,93,91,2,5,1,38%,+175,-210,205.5,205.5,31%,48%
,,,20170103,7:30p,Utah,Boston,UTA,BOS,104,115,-11,+5.5,0,48%,+190,-210,199.5,199.5,40%,48%
,,,20170103,7:30p,Boston,Utah,BOS,UTA,115,104,11,-5.5,1,52%,-210,+190,199.5,199.5,60%,52%
,,,20170103,7:30p,Indiana,Detroit,IND,DET,121,116,5,+5,1,45%,+190,-210,205,205,42%,41%
,,,20170103,7:30p,Detroit,Indiana,DET,IND,116,121,-5,-5,0,55%,-210,+190,205,205,58%,59%
,,,20170103,8:30p,Toronto,San Antonio,TOR,SAS,82,110,-28,+6,0,47%,+215,-255,206,206,40%,41%
