game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
,,,20160101,7:00p,Orlando,Washington,ORL,WAS,91,103,-12,+1.5,0,52%,+103,-123,203,203,45%,33%
,,,20160101,7:00p,Washington,Orlando,WAS,ORL,103,91,12,-1.5,1,48%,-123,+103,203,203,55%,67%
,,,20160101,7:30p,Dallas,Miami,DAL,MIA,82,106,-24,+2.5,0,55%,+125,-145,195.5,195.5,46%,46%
,,,20160101,7:30p,Miami,Dallas,MIA,DAL,106,82,24,-2.5,1,45%,-145,+125,195.5,195.5,54%,54%
,,,20160101,7:30p,Charlotte,Toronto,CHA,TOR,94,104,-10,+6,0,53%,+210,-250,196,196,42%,42%
,,,20160101,7:30p,Toronto,Charlotte,TOR,CHA,104,94,10,-6,1,47%,-250,+210,196,196,58%,58%
,,,20160101,8:00p,New York,Chicago,NYK,CHI,81,108,-27,+7,0,49%,+245,-290,199,199,38%,63%
,,,20160101,8:00p,Chicago,New York,CHI,NYK,108,81,27,-7,1,51%,-290,+245,199,199,62%,37%
,,,20160101,10:30p,Philadelphia,L.A. Lakers,PHI,LAL,84,93,-9,+3,0,44%,+130,-150,207.5,207.5,35%,23%
,,,20160101,10:30p,L.A. Lakers,Philadelphia,LAL,PHI,93,84,9,-3,1,56%,-150,+130,207.5,207.5,65%,77%
,,,20160102,3:00p,Brooklyn,Boston,BKN,BOS,100,97,3,+9.5,1,47%,+435,-500,203,203,56%,44%
,,,20160102,3:00p,Boston,Brooklyn,BOS,BKN,97,100,-3,-9.5,0,53%,-500,+435,203,203,44%,56%
,,,20160102,5:00p,Phoenix,Sacramento,PHX,SAC,119,142,-23,+6,0,52%,+230,-250,213,213,46%,42%
,,,20160102,5:00p,Sacramento,Phoenix,SAC,PHX,142,119,23,-6,1,48%,-250,+230,213,213,54%,58%
,,,20160102,7:00p,Detroit,Indiana,DET,IND,82,94,-12,+4.5,0,47%,+170,-185,204.5,204.5,34%,55%
,,,20160102,7:00p,Indiana,Detroit,IND,DET,94,82,12,-4.5,1,54%,-185,+170,204.5,204.5,66%,45%
,,,20160102,7:00p,Oklahoma City,Charlotte,OKC,CHA,109,90,19,-9,1,58%,-430,+380,210,210,64%,65%
,,,20160102,7:00p,Charlotte,Oklahoma City,CHA,OKC,90,109,-19,9,0,42%,+380,-430,210,210,36%,35%
,,,20160102,7:30p,Orlando,Cleveland,ORL,CLE,79,104,-25,+8.5,0,46%,+325,-400,192,192,44%,46%
,,,20160102,7:30p,Cleveland,Orlando,CLE,ORL,104,79,25,-8.5,1,54%,-400,+325,192,192,56%,54%
,,,20160102,8:00p,Milwaukee,Minnesota,MIL,MIN,95,85,10,+2,1,53%,+115,-125,203.5,203.5,52%,49%
,,,20160102,8:00p,Minnesota,Milwaukee,MIN,MIL,85,95,-10,-2,0,47%,-125,+115,203.5,203.5,48%,51%
,,,20160102,8:30p,New Orleans,Dallas,NOP,DAL,105,98,7,+3.5,1,36%,+150,-160,205.5,205.5,23%,33%
,,,20160102,8:30p,Dallas,New Orleans,DAL,NOP,98,105,-7,-3.5,0,64%,-160,+150,205.5,205.5,77%,67%
,,,20160102,8:30p,Houston,San Antonio,HOU,SAS,103,121,-18,+11,0,44%,+600,-750,202,202,44%,53%
,,,20160102,8:30p,San Antonio,Houston,SAS,HOU,121,103,18,-11,1,56%,-750,+600,202,202,56%,47%
,,,20160102,9:00p,Memphis,Utah,MEM,UTA,87,92,-5,-2,0,59%,-130,+110,184.5,184.5,67%,60%
,,,20160102,9:00p,Utah,Memphis,UTA,MEM,92,87,5,2,1,41%,+110,-130,184.5,184.5,33%,40%
,,,20160102,10:30p,Denver,Golden State,DEN,GSW,108,111,-3,+15,0,44%,+1350,-2300,216,216,28%,17%
,,,20160102,10:30p,Golden State,Denver,GSW,DEN,111,108,3,-15,1,56%,-2300,+1350,216,216,72%,83%
,,,20160102,10:30p,Philadelphia,L.A. Clippers,PHI,LAC,99,130,-31,+13.5,0,38%,+1050,-1300,203.5,203.5,33%,12%
,,,20160102,10:30p,L.A. Clippers,Philadelphia,LAC,PHI,130,99,31,-13.5,1,62%,-1300,+1050,203.5,203.5,67%,88%
,,,20160103,3:30p,Atlanta,New York,ATL,NYK,97,111,-14,-4.5,0,56%,-190,+165,200.5,200.5,65%,58%
,,,20160103,3:30p,New York,Atlanta,NYK,ATL,111,97,14,4.5,1,44%,+165,-190,200.5,200.5,35%,42%
,,,20160103,3:30p,Chicago,Toronto,CHI,TOR,115,113,2,+4,1,51%,+155,-175,195,195,60%,55%
,,,20160103,3:30p,Toronto,Chicago,TOR,CHI,113,115,-2,-4,0,49%,-175,+155,195,195,40%,45%
,,,20160103,6:00p,Miami,Washington,MIA,WAS,97,75,22,-1.5,1,54%,-123,+103,197,197,61%,59%
,,,20160103,6:00p,Washington,Miami,WAS,MIA,75,97,-22,1.5,0,46%,+103,-123,197,197,39%,41%
,,,20160103,9:00p,Portland,Denver,POR,DEN,112,106,6,-1.5,1,59%,-125,+105,203.5,203.5,66%,77%
,,,20160103,9:00p,Denver,Portland,DEN,POR,106,112,-6,1.5,0,41%,+105,-125,203.5,203.5,34%,23%
,,,20160103,9:30p,Phoenix,L.A. Lakers,PHX,LAL,77,97,-20,-1,0,59%,-115,+105,209,209,63%,64%
,,,20160103,9:30p,L.A. Lakers,Phoenix,LAL,PHX,97,77,20,1,1,41%,+105,-115,209,209,37%,36%
,,,20160104,7:00p,Minnesota,Philadelphia,MIN,PHI,99,109,-10,-6.5,0,52%,-255,+215,203.5,203.5,64%,66%
,,,20160104,7:00p,Philadelphia,Minnesota,PHI,MIN,109,99,10,6.5,1,48%,+215,-255,203.5,203.5,36%,34%
,,,20160104,7:00p,Toronto,Cleveland,TOR,CLE,100,122,-22,+8,0,51%,+315,-380,194,194,43%,44%
,,,20160104,7:00p,Cleveland,Toronto,CLE,TOR,122,100,22,-8,1,0%,-380,+315,194,194,57%,56%
,,,20160104,7:30p,Indiana,Miami,IND,MIA,100,103,-3,+2,0,55%,+115,-135,193.5,193.5,47%,55%
,,,20160104,7:30p,Miami,Indiana,MIA,IND,103,100,3,-2,1,45%,-135,+115,193.5,193.5,53%,45%
