game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas
,,,20141201,7:00p,Nebraska,Florida State,NEB,FSU,70,65,5,-2.5,1,61%,-140,+130,129.5,129.5,66%,68%
,,,20141201,7:00p,Florida State,Nebraska,FSU,NEB,65,70,-5,2.5,0,39%,+130,-140,129.5,129.5,34%,32%
,,,20141201,7:00p,Rutgers,Clemson,RUTG,CLEM,69,64,5,+8.5,1,53%,+345,-385,123,123,37%,43%
,,,20141201,7:00p,Clemson,Rutgers,CLEM,RUTG,64,69,-5,-8.5,0,47%,-385,+345,123,123,63%,57%
,,,20141201,7:30p,South Carolina,Marshall,SCAR,MRSH,77,59,18,-7,1,49%,-305,+275,137,137,67%,51%
,,,20141201,7:30p,Marshall,South Carolina,MRSH,SCAR,59,77,-18,7,0,51%,+275,-305,137,137,33%,49%
,,,20141201,9:00p,Texas Southern,Baylor,TXSO,BAY,49,75,-26,+21,0,45%,+6500,-16500,126,126,NaN,56%
,,,20141201,9:00p,Baylor,Texas Southern,BAY,TXSO,75,49,26,-21,1,55%,-16500,+6500,126,126,NaN,44%
,,,20141202,7:00p,Minnesota,Wake Forest,MINN,WAKE,84,69,15,-4.5,1,52%,-175,+165,137.5,137.5,64%,64%
,,,20141202,7:00p,Wake Forest,Minnesota,WAKE,MINN,69,84,-15,4.5,0,48%,+165,-175,137.5,137.5,36%,36%
,,,20141202,7:00p,Pittsburgh,Indiana,PITT,IND,69,81,-12,+2.5,0,42%,+140,-150,134,134,36%,38%
,,,20141202,7:00p,Indiana,Pittsburgh,IND,PITT,81,69,12,-2.5,1,58%,-150,+140,134,134,64%,62%
,,,20141202,7:00p,Massachusetts,LSU,MASS,LSU,60,82,-22,+2.5,0,43%,+125,-135,151,151,44%,33%
,,,20141202,7:00p,LSU,Massachusetts,LSU,MASS,82,60,22,-2.5,1,57%,-135,+125,151,151,56%,67%
,,,20141202,7:30p,Syracuse,Michigan,SYR,MICH,65,68,-3,+4.5,0,45%,+170,-185,127,127,38%,34%
,,,20141202,7:30p,Michigan,Syracuse,MICH,SYR,68,65,3,-4.5,1,55%,-185,+170,127,127,62%,66%
,,,20141202,9:00p,South Florida,Alabama,USF,ALA,71,82,-11,+11,0,60%,+575,-710,138.5,138.5,33%,62%
,,,20141202,9:00p,Alabama,South Florida,ALA,USF,82,71,11,-11,1,40%,-710,+575,138.5,138.5,67%,38%
,,,20141202,9:00p,Northern Illinois,DePaul,NIU,DEP,67,78,-11,+6.5,0,43%,,,130.5,130.5,25%,37%
,,,20141202,9:00p,DePaul,Northern Illinois,DEP,NIU,78,67,11,-6.5,1,57%,,,130.5,130.5,75%,63%
