game_id,season,week,date,time,team_org,opponent_team_org,team,opponent_team,points,opponent_points,points_difference,spread,win_against_spread,spread_percentage_sbr,moneyline_team,moneyline_opponent,total_team,total_opponent,spread_percentage_sportsplays,spread_percentage_vegas,,,,,,
,,,20150201,12:30p,Miami (FL),Florida State,MIA,FSU,54,55,-1,-2,0,61%,-130,110,136.5,136.5,73%,68%,,,,,,
,,,20150201,12:30p,Florida State,Miami (FL),FSU,MIA,55,54,1,2,1,39%,110,-130,136.5,136.5,27%,32%,,,,,,
,,,20150201,12:30p,Oakland,Youngstown State,OAK,YSU,96,80,16,-3,1,54%,-145,135,148.5,148.5,69%,59%,,,,,,
,,,20150201,12:30p,Youngstown State,Oakland,YSU,OAK,80,96,-16,3,0,46%,135,-145,148.5,148.5,31%,41%,,,,,,
,,,20150201,1:00p,Michigan,Michigan State,MICH,MSU,66,76,-10,11.5,0,55%,600,-750,120,120,47%,47%,,,,,,
,,,20150201,1:00p,Michigan State,Michigan,MSU,MICH,76,66,10,-11.5,1,45%,-750,600,120,120,53%,53%,,,,,,
,,,20150201,1:00p,Cincinnati,East Carolina,CIN,ECU,46,50,-4,-10.5,0,54%,-600,500,121,121,74%,73%,,,,,,
,,,20150201,1:00p,East Carolina,Cincinnati,ECU,CIN,50,46,4,10.5,1,46%,500,-600,121,121,26%,27%,,,,,,
,,,20150201,2:00p,Fordham,Dayton,FOR,DAY,77,101,-24,15,0,41%,1050,-1600,126.5,126.5,30%,51%,,,,,,
,,,20150201,2:00p,Dayton,Fordham,DAY,FOR,101,77,24,-15,1,59%,-1600,1050,126.5,126.5,70%,49%,,,,,,
,,,20150201,2:30p,Utah,USC,UTAH,USC,67,39,28,-10.5,1,59%,-610,508,132.5,132.5,76%,66%,,,,,,
,,,20150201,2:30p,USC,Utah,USC,UTAH,39,67,-28,10.5,0,41%,508,-610,132.5,132.5,24%,34%,,,,,,
,,,20150201,3:00p,Connecticut,Houston,CONN,HOU,68,70,-2,-8.5,0,57%,-410,365,122.5,122.5,74%,61%,,,,,,
,,,20150201,3:00p,Houston,Connecticut,HOU,CONN,70,68,2,8.5,1,43%,365,-410,122.5,122.5,26%,39%,,,,,,
,,,20150201,3:00p,California,Washington,CAL,WASH,90,88,2,6.5,1,54%,255,-280,132.5,132.5,43%,50%,,,,,,
,,,20150201,3:00p,Washington,California,WASH,CAL,88,90,-2,-6.5,0,46%,-280,255,132.5,132.5,57%,50%,,,,,,
,,,20150201,2:00p,Quinnipiac,Niagara,QUIN,NIAG,100,105,-5,-6,0,50%,-250,230,135,135,61%,50%,,,,,,
,,,20150201,2:00p,Niagara,Quinnipiac,NIAG,QUIN,105,100,5,6,1,50%,230,-250,135,135,39%,50%,,,,,,
,,,20150201,2:00p,Marist,Canisius,MRST,CAN,75,67,8,10.5,1,42%,500,-600,123.5,123.5,38%,65%,,,,,,
,,,20150201,2:00p,Canisius,Marist,CAN,MRST,67,75,-8,-10.5,0,58%,-600,500,123.5,123.5,62%,35%,,,,,,
,,,20150201,2:00p,Manhattan,Monmouth,MAN,MONM,87,76,11,4.5,1,48%,175,-190,129.5,129.5,45%,69%,,,,,,
,,,20150201,2:00p,Monmouth,Manhattan,MONM,MAN,76,87,-11,-4.5,0,52%,-190,175,129.5,129.5,55%,NaN,,,,,,
,,,20150201,3:00p,North Dakota State,Western Illinois,NDSU,WIU,64,62,2,-5.5,1,43%,-210,190,121,121,59%,58%,,,,,,
,,,20150201,3:00p,Western Illinois,North Dakota State,WIU,NDSU,62,64,-2,5.5,0,57%,190,-210,121,121,41%,42%,,,,,,
,,,20150202,7:00p,Virginia,North Carolina,UVA,UNC,75,64,11,-1,1,56%,-112,102,129.5,129.5,66%,68%,,,,,,
,,,20150202,7:00p,North Carolina,Virginia,UNC,UVA,64,75,-11,1,0,44%,102,-112,129.5,129.5,34%,32%,,,,,,
,,,20150202,8:00p,Green Bay,Wright State,GB,WRST,71,58,13,-6.5,1,59%,-265,245,122,122,73%,NaN,,,,,,
,,,20150202,8:00p,Wright State,Green Bay,WRST,GB,58,71,-13,6.5,0,41%,245,-265,122,122,27%,29%,,,,,,
,,,20150202,9:00p,Iowa State,Kansas,ISU,KU,76,89,-13,7.5,0,57%,285,-315,154.5,154.5,57%,59%,,,,,,
,,,20150202,9:00p,Kansas,Iowa State,KU,ISU,89,76,13,-7.5,1,43%,-315,285,154.5,154.5,43%,41%,,,,,,
,,,20150202,7:00p,Rider,Siena,RID,SIE,72,79,-7,-3,0,55%,-155,145,139,139,67%,56%,,,,,,
,,,20150202,7:00p,Siena,Rider,SIE,RID,79,72,7,3,1,45%,145,-155,139,139,33%,44%,,,,,,
,,,20150202,7:00p,Morgan State,Coppin State,MORG,COPP,67,80,-13,4.5,0,58%,170,-185,151.5,151.5,NaN,73%,,,,,,
,,,20150202,7:00p,Coppin State,Morgan State,COPP,MORG,80,67,13,-4.5,1,42%,-185,170,151.5,151.5,NaN,27%,,,,,,
